Location,year,month,avg_power,avg_wind_speed_100m,avg_wind_speed_10m,avg_temperature_2m,reading_count
4,2016,3,0.3119380903010753,7.268162320899193,4.554932179752688,35.86938516623656,744
4,2016,4,0.323558386,7.038563306384722,4.566319724572222,42.05973910888889,720
4,2016,5,0.30447343978225805,6.708202643100806,4.3476875560967745,54.86132065010752,744
4,2016,6,0.2362794971722222,6.181952194986112,3.9558058356708337,68.77390577555555,720
4,2016,7,0.1373399724516129,5.090044040700269,3.3140047603978493,74.451912047957,744
4,2016,8,0.11512868202688173,5.42956016972043,3.4429294915806454,71.2646808651613,744
4,2016,9,0.23729088603333331,6.884632750604166,4.3115280578902775,60.21821133111111,720
4,2016,10,0.30898392366666666,7.144492965947581,4.494905298033602,44.223551832903226,744
4,2016,11,0.36094213608055553,8.105341084441667,4.9999586134694445,41.17029466444444,720
4,2016,12,0.2671789505725806,6.738444578665322,4.1222305668561825,26.302852908311827,744
